id,filename,status,issue_codes,path
examination_table_01,examination_table_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\examination_table_01.png
fluoroscopy_c_arm_01,fluoroscopy_c_arm_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\fluoroscopy_c_arm_01.png
folding_stretcher_storage_rack_01,folding_stretcher_storage_rack_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\folding_stretcher_storage_rack_01.png
glove_dispenser_01,glove_dispenser_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\glove_dispenser_01.png
hand_sanitizer_stand_01,hand_sanitizer_stand_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hand_sanitizer_stand_01.png
hematology_analyzer_01,hematology_analyzer_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hematology_analyzer_01.png
high_flow_oxygen_unit_01,high_flow_oxygen_unit_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\high_flow_oxygen_unit_01.png
hospital_bassinet_01,hospital_bassinet_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bassinet_01.png
hospital_bed_bariatric_01,hospital_bed_bariatric_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_bariatric_01.png
hospital_bed_damaged_01,hospital_bed_damaged_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_damaged_01.png
hospital_bed_head_raised_01,hospital_bed_head_raised_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_head_raised_01.png
hospital_bed_pediatric_01,hospital_bed_pediatric_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_pediatric_01.png
hospital_bed_rails_lowered_01,hospital_bed_rails_lowered_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_rails_lowered_01.png
hospital_bed_standard_01,hospital_bed_standard_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_standard_01.png
hospital_bed_unmade_01,hospital_bed_unmade_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_bed_unmade_01.png
hospital_door_glazed_closed_01,hospital_door_glazed_closed_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_door_glazed_closed_01.png
hospital_door_single_closed_01,hospital_door_single_closed_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_door_single_closed_01.png
hospital_door_single_half_open_01,hospital_door_single_half_open_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_door_single_half_open_01.png
hospital_double_doors_closed_01,hospital_double_doors_closed_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_double_doors_closed_01.png
hospital_double_doors_half_open_01,hospital_double_doors_half_open_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_double_doors_half_open_01.png
hospital_equipment_opening_wide_01,hospital_equipment_opening_wide_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_equipment_opening_wide_01.png
hospital_floor_alt_01,hospital_floor_alt_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_alt_01.png
hospital_floor_alt_02,hospital_floor_alt_02.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_alt_02.png
hospital_floor_alt_03,hospital_floor_alt_03.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_alt_03.png
hospital_floor_alt_04,hospital_floor_alt_04.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_alt_04.png
hospital_floor_plain_01,hospital_floor_plain_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_plain_01.png
hospital_floor_plain_02,hospital_floor_plain_02.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_plain_02.png
hospital_floor_plain_03,hospital_floor_plain_03.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_plain_03.png
hospital_floor_plain_04,hospital_floor_plain_04.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_floor_plain_04.png
hospital_front_wall_cutaway_01,hospital_front_wall_cutaway_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_front_wall_cutaway_01.png
hospital_front_wall_cutaway_02,hospital_front_wall_cutaway_02.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_front_wall_cutaway_02.png
hospital_front_wall_cutaway_03,hospital_front_wall_cutaway_03.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_front_wall_cutaway_03.png
hospital_front_wall_cutaway_04,hospital_front_wall_cutaway_04.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_front_wall_cutaway_04.png
hospital_sliding_clinical_doors_closed_01,hospital_sliding_clinical_doors_closed_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_sliding_clinical_doors_closed_01.png
hospital_sliding_clinical_doors_open_01,hospital_sliding_clinical_doors_open_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_sliding_clinical_doors_open_01.png
hospital_wall_back_straight_01,hospital_wall_back_straight_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_back_straight_01.png
hospital_wall_back_straight_02,hospital_wall_back_straight_02.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_back_straight_02.png
hospital_wall_back_straight_03,hospital_wall_back_straight_03.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_back_straight_03.png
hospital_wall_back_straight_04,hospital_wall_back_straight_04.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_back_straight_04.png
hospital_wall_side_left_01,hospital_wall_side_left_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_side_left_01.png
hospital_wall_side_left_02,hospital_wall_side_left_02.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_side_left_02.png
hospital_wall_side_right_01,hospital_wall_side_right_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_side_right_01.png
hospital_wall_side_right_02,hospital_wall_side_right_02.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\hospital_wall_side_right_02.png
humidifier_respiratory_unit_01,humidifier_respiratory_unit_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\humidifier_respiratory_unit_01.png
icu_bedside_supply_unit_01,icu_bedside_supply_unit_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_bedside_supply_unit_01.png
icu_bedside_terminal_01,icu_bedside_terminal_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_bedside_terminal_01.png
icu_ceiling_equipment_boom_01,icu_ceiling_equipment_boom_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_ceiling_equipment_boom_01.png
icu_equipment_tower_01,icu_equipment_tower_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_equipment_tower_01.png
icu_isolation_supply_cart_01,icu_isolation_supply_cart_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_isolation_supply_cart_01.png
icu_monitor_advanced_01,icu_monitor_advanced_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_monitor_advanced_01.png
icu_overbed_medical_rail_01,icu_overbed_medical_rail_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_overbed_medical_rail_01.png
icu_storage_cabinet_01,icu_storage_cabinet_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_storage_cabinet_01.png
icu_ventilator_advanced_01,icu_ventilator_advanced_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\icu_ventilator_advanced_01.png
infusion_pump_stack_01,infusion_pump_stack_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\infusion_pump_stack_01.png
instrument_trolley_01,instrument_trolley_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\instrument_trolley_01.png
iv_medication_storage_rack_01,iv_medication_storage_rack_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\iv_medication_storage_rack_01.png
iv_stand_dual_01,iv_stand_dual_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\iv_stand_dual_01.png
iv_stand_single_01,iv_stand_single_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\iv_stand_single_01.png
janitorial_cart_01,janitorial_cart_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\janitorial_cart_01.png
laboratory_analyzer_01,laboratory_analyzer_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_analyzer_01.png
laboratory_autoclave_01,laboratory_autoclave_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_autoclave_01.png
laboratory_biosafety_cabinet_01,laboratory_biosafety_cabinet_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_biosafety_cabinet_01.png
laboratory_biosample_cart_01,laboratory_biosample_cart_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_biosample_cart_01.png
laboratory_centrifuge_01,laboratory_centrifuge_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_centrifuge_01.png
laboratory_fume_hood_01,laboratory_fume_hood_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_fume_hood_01.png
laboratory_handwash_sink_01,laboratory_handwash_sink_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_handwash_sink_01.png
laboratory_incubator_01,laboratory_incubator_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_incubator_01.png
laboratory_micropipette_station_01,laboratory_micropipette_station_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_micropipette_station_01.png
laboratory_microscope_01,laboratory_microscope_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_microscope_01.png
laboratory_refrigerator_01,laboratory_refrigerator_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_refrigerator_01.png
laboratory_vortex_mixer_01,laboratory_vortex_mixer_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_vortex_mixer_01.png
laboratory_workbench_01,laboratory_workbench_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\laboratory_workbench_01.png
linen_hamper_01,linen_hamper_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\linen_hamper_01.png
